Assignee_ID,Task_Tag,Issue_Count,Avg_Priority,Skill_Level
A-1659,Build & Release Engineering,2,3.0,1
A-1661,Other,15,1.53,4
A-1661,Build & Release Engineering,11,2.64,4
A-1661,Feature / Improvement Implementation,7,1.0,3
A-1661,Bug fixing / Maintenance,2,3.0,1
A-1661,Project / General Task,2,2.0,1
A-1661,Design & API Evolution,1,1.0,1
A-1661,Testing & Verification,1,1.0,1
A-1662,Other,4,1.12,2
A-1662,Bug fixing / Maintenance,1,3.0,1
A-2967,Feature / Improvement Implementation,2,2.0,1
A-7670,Feature / Improvement Implementation,2,3.0,1
A-7674,Build & Release Engineering,1,3.0,1
