issue_key,jira_id,task_id
WODEN-4,12328386,1
WODEN-5,12330332,2
WODEN-6,12330611,3
WODEN-7,12332040,4
WODEN-9,12332743,5
WODEN-15,12343425,6
WODEN-16,12343579,7
WODEN-17,12343580,8
WODEN-18,12343581,9
WODEN-19,12343667,10
WODEN-21,12343673,11
WODEN-22,12343751,12
WODEN-23,12343752,13
WODEN-24,12343756,14
WODEN-34,12344565,14
WODEN-25,12343930,15
WODEN-26,12343974,16
WODEN-27,12343980,17
WODEN-28,12344143,18
WODEN-29,12344195,19
WODEN-30,12344232,20
WODEN-31,12344247,21
WODEN-43,12345504,21
WODEN-35,12344572,22
WODEN-37,12344983,23
WODEN-38,12345025,24
WODEN-226,12462734,24
WODEN-40,12345201,25
WODEN-41,12345392,26
WODEN-42,12345393,27
WODEN-58,12351801,27
WODEN-44,12345640,28
WODEN-48,12347040,29
WODEN-49,12347514,30
WODEN-50,12347516,31
WODEN-51,12347521,31
WODEN-52,12347527,32
WODEN-53,12347530,33
WODEN-54,12347532,34
WODEN-55,12347533,34
WODEN-59,12351802,35
WODEN-60,12351803,35
WODEN-61,12351807,36
WODEN-80,12355577,36
WODEN-63,12353234,37
WODEN-64,12353587,38
WODEN-66,12353757,39
WODEN-68,12354384,40
WODEN-69,12354625,41
WODEN-75,12355379,41
WODEN-70,12354884,42
WODEN-73,12355367,43
WODEN-77,12355383,44
WODEN-78,12355496,45
WODEN-81,12355602,46
WODEN-82,12355604,47
WODEN-83,12355674,48
WODEN-85,12355692,49
WODEN-86,12355696,50
WODEN-87,12355698,51
WODEN-88,12355699,52
WODEN-89,12355701,53
WODEN-90,12355796,54
WODEN-91,12355879,55
WODEN-92,12356001,56
WODEN-93,12356027,57
WODEN-94,12356029,58
WODEN-95,12356058,59
WODEN-97,12357019,60
WODEN-98,12357129,61
WODEN-99,12357130,62
WODEN-100,12357131,62
WODEN-101,12357132,62
WODEN-102,12357133,62
WODEN-108,12357830,63
WODEN-110,12358754,64
WODEN-148,12363246,64
WODEN-114,12359021,65
WODEN-116,12359244,66
WODEN-117,12359300,67
WODEN-118,12359856,68
WODEN-119,12359920,69
WODEN-120,12359921,70
WODEN-121,12360255,71
WODEN-123,12360394,72
WODEN-124,12360616,73
WODEN-125,12360708,74
WODEN-126,12360719,75
WODEN-127,12360918,76
WODEN-128,12360921,77
WODEN-129,12360984,78
WODEN-130,12361073,79
WODEN-131,12361351,80
WODEN-132,12361358,81
WODEN-133,12361377,82
WODEN-134,12361429,83
WODEN-139,12362152,84
WODEN-143,12362263,85
WODEN-144,12362367,86
WODEN-145,12362436,87
WODEN-146,12362500,88
WODEN-149,12363624,89
WODEN-150,12363871,90
WODEN-153,12365560,91
WODEN-154,12365562,92
WODEN-155,12366128,93
WODEN-159,12368492,94
WODEN-160,12368519,95
WODEN-161,12368565,96
WODEN-162,12368567,97
WODEN-165,12372350,98
WODEN-166,12373406,99
WODEN-167,12373455,100
WODEN-168,12373511,101
WODEN-171,12373988,102
WODEN-172,12375032,103
WODEN-173,12375152,104
WODEN-174,12375846,105
WODEN-175,12375850,106
WODEN-176,12375898,107
WODEN-177,12376018,108
WODEN-178,12376046,109
WODEN-179,12376050,110
WODEN-180,12376675,111
WODEN-181,12377882,112
WODEN-184,12382202,113
WODEN-187,12384276,114
WODEN-189,12384576,115
WODEN-191,12384990,116
WODEN-192,12385537,117
WODEN-229,12497125,117
WODEN-193,12385957,118
WODEN-195,12387393,119
WODEN-197,12388459,120
WODEN-198,12388479,121
WODEN-200,12388507,121
WODEN-199,12388503,122
WODEN-201,12390716,123
WODEN-203,12392461,124
WODEN-204,12392993,125
WODEN-212,12399012,126
WODEN-214,12402654,127
WODEN-215,12402720,128
WODEN-216,12402817,129
WODEN-217,12404185,130
WODEN-219,12415514,131
WODEN-220,12424538,132
WODEN-222,12437380,133
WODEN-241,12965667,133
WODEN-224,12437530,134
WODEN-225,12460831,135
WODEN-227,12465369,136
WODEN-228,12496386,137
WODEN-230,12513171,138
WODEN-231,12515480,139
WODEN-232,12538975,140
WODEN-233,12650144,141
WODEN-234,12675948,142
WODEN-235,12718553,143
WODEN-236,12724915,144
WODEN-237,12828434,145
WODEN-238,12833166,146
WODEN-239,12833190,147
WODEN-240,12833192,147
WODEN-242,13077131,148
WODEN-243,13093093,149
WODEN-244,13150285,150
